Artikelnummer	Kurzbez.	Lagerware	Warengruppe	Warenuntergruppe	Langtext	Artikelhinweis	Abmessungen	Sockel	Lichtfarbe	Leistung	Lichtstrom	CRI	Anzahl LEDs	LED Typ	Abstrahlwinkel	Optik	Gehäuse	Farbe	Gewicht	Eingangsspannung	Powerfaktor	Schutzart	Betriebstemperatur	Luftfeuchtigkeit	Lifetime	Garantie	Zertifikate
10002	SMD0590-I-30/8HPT		LED Tubes	LED Tubes 590	SMD0590-I-30/8HPT     LED Tube 590 SMD 0,3W 3000K 10W Ra80 Full PC clear (inkl. Starter-Ersatz)		L590 Ø26	G13	3000K	10	900	80	28	SMD 0,3W	120°	clear	Full PC	silber	220	150-240 V / 50-60 Hz	0,91	IP65	-28° - +45° C	0,9	45.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
10003	SMD0590-I-30/8HPTM		LED Tubes	LED Tubes 590	SMD0590-I-30/8HPTM     LED Tube 590 SMD 0,3W 3000K 10W Ra80 Full PC milky (inkl. Starter-Ersatz)		L590 Ø26	G13	3000K	10	765	80	28	SMD 0,3W	120°	milky	Full PC	silber	220	150-240 V / 50-60 Hz	0,91	IP65	-28° - +45° C	0,9	45.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
10102	SMD0590-I-40/8HPT		LED Tubes	LED Tubes 590	SMD0590-I-40/8HPT     LED Tube 590 SMD 0,3W 4000K 10W Ra80 Full PC clear (inkl. Starter-Ersatz)		L590 Ø26	G13	4000K	10	1000	80	28	SMD 0,3W	120°	clear	Full PC	silber	220	150-240 V / 50-60 Hz	0,91	IP65	-28° - +45° C	0,9	45.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
10103	SMD0590-I-40/8HPTM		LED Tubes	LED Tubes 590	SMD0590-I-40/8HPTM     LED Tube 590 SMD 0,3W 4000K 10W Ra80 Full PC milky (inkl. Starter-Ersatz)		L590 Ø26	G13	4000K	10	850	80	28	SMD 0,3W	120°	milky	Full PC	silber	220	150-240 V / 50-60 Hz	0,91	IP65	-28° - +45° C	0,9	45.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
10204	SMD0590-I-60/8HPT		LED Tubes	LED Tubes 590	SMD0590-I-60/8HPT     LED Tube 590 SMD 0,3W 6000K 10W Ra80 Full PC clear (inkl. Starter-Ersatz)		L590 Ø26	G13	6000K	10	1000	80	28	SMD 0,3W	120°	clear	Full PC	silber	220	150-240 V / 50-60 Hz	0,91	IP65	-28° - +45° C	0,9	45.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
10205	SMD0590-I-60/8HPTM		LED Tubes	LED Tubes 590	SMD0590-I-60/8HPTM     LED Tube 590 SMD 0,3W 6000K 10W Ra80 Full PC milky (inkl. Starter-Ersatz)		L590 Ø26	G13	6000K	10	850	80	28	SMD 0,3W	120°	milky	Full PC	silber	220	150-240 V / 50-60 Hz	0,91	IP65	-28° - +45° C	0,9	45.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
10300	SMD0590-I(SB)-27/9T		LED Tubes	LED Tubes 590	SMD0590-I(SB)-27/9T     LED Tube 590 SMD 0,06W 2700K 10W Ra90 Full PC clear (inkl. Starter-Ersatz)		L590 Ø26	G13	2700K	10	720	90	130	SMD 0,06W	120°	clear	Full PC	silber	220	150-240 V / 50-60 Hz	0,92	IP65	-28° - +45° C	0,9	45.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
10350	SMD0590-I53-30MM	*	LED Tubes	LED Tubes 590	SMD0590-I53-30MM     LED Tube 1200 SMD 0,3W 3000K 10W Ra82 Full PC MM (inkl. Starter-Ersatz)		L590 Ø26	G13	3000K	10	1080	82	58	SMD 0,3W	120°	MM	Full PC	weiss	222	150-240 V / 50-60 Hz	0,91	IP65	-28° - +45° C	0,9	50.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
10351	SMD0590-I53-40MM	*	LED Tubes	LED Tubes 590	SMD0590-I53-40MM     LED Tube 1200 SMD 0,3W 4000K 10W Ra82 Full PC MM (inkl. Starter-Ersatz)		L590 Ø26	G13	4000K	10	1200	82	58	SMD 0,3W	120°	MM	Full PC	weiss	222	150-240 V / 50-60 Hz	0,91	IP65	-28° - +45° C	0,9	50.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
10352	SMD0590-I53-60MM	*	LED Tubes	LED Tubes 590	SMD0590-I53-60MM     LED Tube 1200 SMD 0,3W 6000K 10W Ra82 Full PC MM (inkl. Starter-Ersatz)		L590 Ø26	G13	6000K	10	1200	82	58	SMD 0,3W	120°	MM	Full PC	weiss	222	150-240 V / 50-60 Hz	0,91	IP65	-28° - +45° C	0,9	50.000 h	60 Mon.	VDE, EMC, TÜV, CE, RoHS
